0.4 0.1; 135.0 45.0 29.999999999999993 29.999999999999993; 0.1 0.1 0.1 0.1
0.4 0.1; 129.7800967155188 49.236378548492524 30.71275922482788 27.057348518478165; 0.10664294600469648 0.11133345443165664 0.10627320630967436 0.11258520289138799
0.4 0.1; 127.66574817108425 53.605377095289256 21.618884238664464 25.414777847339007; 0.10718490600966009 0.11141327602847093 0.10809814011037759 0.11334922732077705
0.4 0.1; 112.99298074879378 39.860707832257944 19.07721152047195 25.414325526870716; 0.10799410403336238 0.1107021011815503 0.10867174888407734 0.13243703724861589
0.4 0.1; 110.31782077668885 38.87389783086008 34.835539672473956 25.542822916855574; 0.10934063453953999 0.13223619725879762 0.11010782542677763 0.14562366258870083
0.4 0.1; 108.38840005369352 38.430813949754274 39.62853663986276 27.610079320814403; 0.10952015318079081 0.13226076033484274 0.11084380851934186 0.1458708210728611
0.4 0.1; 110.9031597276058 20.887995819892556 43.20885936432489 32.12116097562777; 0.11840205002444416 0.13229575726284085 0.11097402238935472 0.1464644161194244
0.4 0.1; 121.13252852635459 9.189848981316329 48.29694291826341 36.56479681876586; 0.12198949931720476 0.13945564495100424 0.1127429216685022 0.14053972728496583
0.4 0.1; 121.09933402605711 7.389185366117117 52.7524627467205 23.31190285381155; 0.12213488039116983 0.13987648344347964 0.11274377263423165 0.1405395371736485
0.4 0.1; 120.9944694594907 4.8362514415126565 60.75826577978313 17.497156657168226; 0.12212369623290263 0.1307257407670339 0.1238847424360002 0.14057954947012863
0.4 0.1; 123.626221061333 -1.9008792210535617 71.26661245239038 12.389048582015752; 0.12883348260525324 0.1318647303444692 0.12389993443955882 0.14056684595224508
0.4 0.1; 123.62124566313572 -18.318331220753137 72.32283443563263 6.985945562688615; 0.13308297343156372 0.1317924143400645 0.12503330500283266 0.14115599742811433
0.4 0.1; 123.61876489720154 -20.345322935236414 79.30531762204824 1.391001042662336; 0.13313356451383912 0.1317936883247428 0.12512986868844075 0.1411686505666781
0.4 0.1; 123.7093961261677 -21.17812231564106 79.94077105027895 -1.6920645621122938; 0.12025880999437535 0.1317930379634166 0.12515294769023985 0.14057806218334012
0.4 0.1; 128.23754596017872 -21.524713702818588 93.71951593865045 -1.7264799401630486; 0.12578262137239893 0.13152899127230963 0.1263317481513733 0.14095403089115216
0.4 0.1; 126.49593727397156 -25.794829730562228 115.07110478951138 -5.366806992344575; 0.12914734919105744 0.13635745664392196 0.11563266084615105 0.13775948690501802
0.4 0.1; 128.0473067471019 -35.904000290174494 115.08399571306491 -1.8031466684346458; 0.13752327818916346 0.13562618015997824 0.11975793872164726 0.13924421214154428
0.4 0.1; 122.84801498365812 -37.19030411258193 123.51919387713713 -3.812592984770299; 0.13190836901653158 0.13572524655334006 0.12283588727348077 0.137646226166791
0.4 0.1; 108.97564752964597 -38.96835311889373 140.83777690410423 -2.726341306693273; 0.1169023373188753 0.1394287656039989 0.1356191164339152 0.13805149294834637
0.4 0.1; 81.54387990703762 -38.40704037479613 141.04787619154806 -3.9564020288161106; 0.11743928096347186 0.13937970528503546 0.14394673245004255 0.1383877869052037
