0.645 0.5; -119.99999999999997 29.999999999999993 45.0 45.0; 0.18 0.18 0.18 0.18
0.645 0.5; -120.00771678890483 37.90820452520434 33.61073823839386 33.594617102526485; 0.16019025612809054 0.17093314351382413 0.15758831938993595 0.16726336176632808
0.645 0.5; -120.25922685151733 49.11647646364038 27.284726384992805 27.840971113695414; 0.15227383802073233 0.15719771406618346 0.1487913433639843 0.15997159713600398
0.645 0.5; -136.32723784926313 56.90711745234744 27.429220008780007 27.545834230318807; 0.152259343538642 0.15732876326822226 0.14858813695029233 0.159881448579288
0.645 0.5; -138.55368161938398 60.97100818768976 27.60540718771926 13.844027570929155; 0.1500471635479946 0.1486042869706339 0.14833498210573887 0.14522145920198753
0.645 0.5; -141.6536696401605 70.7885330371788 27.34382284526793 13.80334788472549; 0.15004047253019545 0.14868280260930206 0.14814982923791242 0.14522340488402805
0.645 0.5; -143.86414434382021 71.7052824560525 5.907330963140749 18.97595513999985; 0.14993652126563312 0.1467257573150461 0.14458597740032691 0.14515990898695824
0.645 0.5; -153.75239347856103 72.68843274924568 0.8734744220816086 23.424413410437698; 0.15190995700314147 0.1424116751805153 0.13580389241135976 0.13314118599095037
0.645 0.5; -153.66565185261956 75.06206380119826 -1.269877723270495 26.437867104398094; 0.14878208802760357 0.12510324621428703 0.1503178497148515 0.1331204949748925
0.645 0.5; -153.91739208154377 88.82491768945617 -1.972700351134172 41.33895393322416; 0.14881944750697246 0.12505629606973695 0.14928904126324197 0.12657926751747395
0.645 0.5; -162.89055309874504 95.77229259548808 -0.28534944020155467 51.97571055731634; 0.14653643803153452 0.12512700643413163 0.1517231527806394 0.12620034457578036
0.645 0.5; -163.18622235057634 97.72894168969894 -1.2404741585818617 26.183680963989175; 0.14374976741953266 0.1228429090724993 0.14865958884419883 0.1338644153010129
0.645 0.5; -176.74246814067993 105.33635828074738 -0.6256388099795104 21.430494847531577; 0.14551986496944946 0.12251766244052326 0.14571492940292496 0.13774413624772655
0.645 0.5; 166.78737640743074 109.25161008100488 1.2871740306828796 17.948232154505682; 0.14011984273903058 0.12911558768166476 0.1471379153189226 0.12673005321168818
0.645 0.5; 161.5120343317449 109.36603746864313 2.009737363160268 15.846829305192733; 0.13981490908333621 0.12908557109318383 0.14265114384345212 0.1239604506257014
