0.245 0.5; 119.99999999999997 119.99999999999997 59.999999999999986 -29.999999999999993; 0.1 0.1 0.1 0.1
0.245 0.5; 119.83431165142244 116.19632062547934 57.8287232691461 -29.22310510442471; 0.10835516144911327 0.11165547413614257 0.1055487962470137 0.11238005098929671
0.245 0.5; 121.4945052260129 115.57396632849023 58.001427660187815 -29.22254831066079; 0.10830507641724305 0.11127900359002603 0.10600868429880142 0.11758513185032868
0.245 0.5; 122.26534071004349 115.57374617126146 57.86663603315237 -28.763615733863666; 0.1082883464984052 0.1114219281547824 0.10603590958135219 0.11761111988177807
0.245 0.5; 124.27376086682472 116.74402279679113 56.93856549077793 -28.711830958587942; 0.11170453703203566 0.11247071646176632 0.10614192705675769 0.11933274555499626
0.245 0.5; 127.66671083424357 115.8705282322027 57.705030406198375 -27.605189448053974; 0.11197158190141186 0.1124793162360458 0.11771088873990508 0.11923261300207019
0.245 0.5; 127.87164307620837 113.12939856415849 56.70604868385857 -25.60225490958764; 0.11250107092994133 0.11247929112631042 0.1276419709920487 0.11957475444117979
0.245 0.5; 132.93049257727768 112.30757009850005 56.44461283948635 -26.453867895241167; 0.11249757803029896 0.11296054752152514 0.12731904415814835 0.11877541850332099
0.245 0.5; 138.87863053037324 110.70142741346719 56.218617098359665 -26.231188377898025; 0.11255278599150266 0.11576486274666471 0.12622092782069247 0.11877547642499385
0.245 0.5; 142.5886328302448 109.33454550869953 58.063554452702405 -26.122743649773696; 0.11260013385172654 0.11779914546583085 0.12784620471938876 0.11897887900529971
0.245 0.5; 142.63071045222463 109.66993669112252 55.791632483689575 -26.1125558580429; 0.1129482546530576 0.11783344690315822 0.1278934416733082 0.1189758800762611
0.245 0.5; 143.21875662359597 102.90320992498505 55.76065779694591 -26.09616783362879; 0.11360107533753148 0.1190052819407965 0.12789464577725562 0.11911448593299141
0.245 0.5; 143.7837874106451 102.8602760469447 55.54557710368216 -28.148734780625762; 0.11386698333593219 0.11901894029924896 0.12789003992706546 0.11914639998806272
0.245 0.5; 144.3866846317546 101.82084233102225 50.738114252276475 -28.153715842092016; 0.11386728495807923 0.11899588246796743 0.12789544749376744 0.11914745236135639
0.245 0.5; 145.38492312447008 102.43522898718246 50.16968802881162 -33.561881732097945; 0.11475305636707046 0.11925875298013218 0.127913317405156 0.12247899082203192
0.245 0.5; 145.53930960881473 102.73358817414173 50.00200997239035 -34.55164012964611; 0.11557104840545193 0.12122302050430792 0.12803076164596575 0.12299327738740554
0.245 0.5; 145.56004906883186 102.73358906458769 49.45107665942619 -39.74604209348199; 0.1155712806908015 0.12122320397013327 0.1287201516429719 0.12300627887370573
0.245 0.5; 145.89541708172877 103.20424351240497 46.47500940401657 -41.42354217772861; 0.11574010047665122 0.1212295284904472 0.1288421326595933 0.12323090798029365
0.245 0.5; 146.98706447639304 103.30435298079044 46.41194661130401 -48.11025116324518; 0.11570157245717169 0.1210984861231748 0.12883804974612353 0.12323361152841343
0.245 0.5; 146.93163909136595 103.54444683229303 40.65140667420696 -48.111656275422334; 0.11635181669771877 0.12111720439461698 0.12865159563539016 0.12327537434850135
0.245 0.5; 150.71784278416433 104.45713514900386 39.07735256177125 -48.33242811544651; 0.1267802279832028 0.12339757085616486 0.13056155770666528 0.12458173090498559
0.245 0.5; 153.2727684035595 105.91976368619991 39.05344457500227 -48.505138132412625; 0.1271887819264981 0.1271710239989695 0.13938696988361274 0.12503587525276186
0.245 0.5; 153.29311155575047 104.95269073941564 39.017481507527805 -49.43144203423242; 0.1272013543124047 0.12772018773679075 0.1393916967336578 0.1254870625828471
0.245 0.5; 153.32178502406003 104.94491167268771 36.305701361336816 -50.719222438323264; 0.12827300739058475 0.12881436626366677 0.13764061287599066 0.12503903166096036
0.245 0.5; 153.79118596219445 104.1099089157289 36.22832319304414 -50.746419690878774; 0.13356476257705135 0.12975726400736218 0.13735779359397915 0.12512677762290378
0.245 0.5; 153.64019515637938 104.00071566195562 28.82478895789502 -51.39560780055001; 0.1336167849803418 0.1296684891067558 0.13735804086691822 0.1251029988848569
0.245 0.5; 154.05403407309186 107.68501824958139 26.65268863509778 -51.89261130425888; 0.13362525122555058 0.12970413563523242 0.13726731299826941 0.12520060127628416
0.245 0.5; 154.06992516102179 108.82110375201823 26.495698169174638 -54.964856424413014; 0.13366427719740018 0.1297792072448816 0.142250749811732 0.12519386082221445
0.245 0.5; 154.97289939222628 109.99412468427802 21.78430208213503 -55.09785197677797; 0.13380046672802326 0.12985181108563354 0.14197927483281125 0.1237052336382642
0.245 0.5; 155.086642530082 111.71355605964261 21.195621021163912 -55.0140809375438; 0.1330251994413665 0.14269027227517472 0.14429009527139586 0.1239129590999364
0.245 0.5; 154.20348899549614 112.50426176891172 20.918303107241208 -58.6096363808472; 0.13139104999275622 0.14231026851862733 0.14042305528008617 0.12467602938488542
0.245 0.5; 151.56329493771807 112.50750802784118 19.478506580084783 -58.649309306134555; 0.13673281476021903 0.14401797474509584 0.14034655307272947 0.12802948464413716
0.245 0.5; 151.40910397384098 112.52607325116192 19.45196207913239 -61.35824901351616; 0.13671841835756374 0.14391198202212274 0.1403526376251236 0.12921495207388156
0.245 0.5; 153.23314723396356 113.12193356799771 19.376905384821153 -65.76538211847891; 0.13674206209024728 0.14483449778682259 0.14031335832034114 0.1283759202683416
0.245 0.5; 161.47034585060553 113.12224573280984 19.00729451408262 -65.7680920097025; 0.1417525053396952 0.14371736878889438 0.14082734966226318 0.12837614996908261
0.245 0.5; 162.33165861358592 113.17867133694216 19.003660346779675 -66.85491450916498; 0.1418563905182178 0.14366457584023884 0.14082929607300013 0.12853314315055195
0.245 0.5; 162.85537588327327 114.99755101939672 18.555660796675927 -67.60665207892184; 0.14223868041856286 0.1433919613073641 0.1407451216980368 0.13040621875688393
0.245 0.5; 164.09926140861418 112.91287371596371 18.336649656834577 -68.94151012929555; 0.13955404980916128 0.14339086737874107 0.14408198646773643 0.13081587510498077
