0.5 0.3; 29.999999999999993 29.999999999999993 29.999999999999993 -59.999999999999986; 0.2 0.2 0.2 0.2
0.5 0.3; 28.97147281121281 28.655944941179808 14.228553406626267 -51.07163210298954; 0.15603006605342734 0.18157737155742437 0.1842940211815683 0.17747898866711445
0.5 0.3; 30.24901652170657 27.935993511482735 7.584408554420081 -47.79638401262113; 0.15661941762247672 0.17075149591368696 0.15135745606302936 0.17130172414367195
0.5 0.3; 43.38200096800138 25.617785067232248 5.385626834569231 -33.267544392973385; 0.15895768472779234 0.1563282472402293 0.12674142763867693 0.15974420073326534
0.5 0.3; 43.27267369926326 -0.45725003470022135 5.411096034142976 -33.571847025965916; 0.16096478086950677 0.15640375266696951 0.12503638417162255 0.16018964043233477
0.5 0.3; 50.10532088580779 -14.867104254375409 -7.296628868800067 -32.74636510164903; 0.15817411383066896 0.13847676534964518 0.1259666818342524 0.16148946052889301
0.5 0.3; 68.9867541270813 -13.968178328981049 -9.627276372594912 -32.574156501803856; 0.15805552492434602 0.14128891766133336 0.1421211658643485 0.15924355785780883
0.5 0.3; 69.24682670665679 -23.30108965913961 2.813207076238697 -29.213692632670753; 0.15888870171025737 0.1417393995802973 0.14406471463480836 0.15822724233278107
0.5 0.3; 73.60172224553999 -35.17872148326219 4.693615835232241 -21.890230030283647; 0.15918144427333739 0.14318220208805998 0.1446627542766134 0.15975553889747993
0.5 0.3; 85.45935622183613 -42.27761073121668 3.804319347072174 -9.221231836326465; 0.1599257669441253 0.14625659994553436 0.1304077131280801 0.1463165622542884
0.5 0.3; 85.65042860434826 -52.50827276047146 3.6400558189865366 -0.9959237544459159; 0.15990613599603554 0.14681989933722103 0.13713502043819428 0.1460613580939951
0.5 0.3; 85.82252090770878 -62.27212983420005 -1.078470408986346 -0.877026902591896; 0.15991207506275215 0.14682615859038434 0.13705509227373708 0.14636035757607904
0.5 0.3; 85.74592061847646 -62.68224997816426 -1.6011068274759794 17.68888933849023; 0.15965786692006456 0.14671929393657615 0.1551937467032094 0.14632577305072073
0.5 0.3; 89.3813828976846 -74.76689091881352 -1.580650025536092 19.560550037646234; 0.1595844828371513 0.14593245461102972 0.15663015673840974 0.14640122285171284
0.5 0.3; 92.33436142413265 -76.03369235872962 -1.5629146912245042 22.015303030854085; 0.14679489689537834 0.13714239536280687 0.1566498085562203 0.1346944244337388
0.5 0.3; 95.49407714720851 -96.93102404950957 -1.5521312314677513 32.35934316447493; 0.14740841121449783 0.13620551106660653 0.16133191778529854 0.13620564053202514
0.5 0.3; 98.0783764407805 -111.03745518972399 3.8147397699935133 35.39525336799724; 0.1896969254057914 0.1384686902466467 0.14416742656420523 0.14275620495103306
0.5 0.3; 99.52562492300758 -110.89047614336023 4.299317465300019 65.33763059149834; 0.18704961169969958 0.13990134918191052 0.13958726492502074 0.14294459055138414
0.5 0.3; 110.45035709067751 -103.98330154707276 11.352823683592646 59.45768991279117; 0.18785492874322324 0.14640425329946122 0.14297603832230066 0.129604213694413
0.5 0.3; 114.49799048719996 -103.80471281660172 26.25987597970123 59.06050857668577; 0.1849925306985097 0.15167261450989242 0.14447172391365884 0.14475203701944866
0.5 0.3; 114.30447985572675 -107.80584568829273 31.978539633588927 79.14263773732961; 0.183625442456656 0.15169543259997698 0.14313539220490087 0.14185067443368998
0.5 0.3; 114.42498743594348 -136.5829856684754 35.515100265986526 79.13807972708638; 0.16904790727946914 0.15078477607020893 0.1384924480025777 0.13320286075930757
0.5 0.3; 116.29759527788973 -128.73920114011932 41.52201252372181 80.92215782224378; 0.13022755298113797 0.15123124802771323 0.14128920251975385 0.1524191774267658
0.5 0.3; 112.29875745714901 -122.32040352698233 41.52156356482578 104.74767812468801; 0.13555172511757274 0.15278304513380803 0.14172188838023567 0.14217393989746022
0.5 0.3; 111.42152059556935 -117.00570693034628 70.23966616545017 105.93604419108266; 0.13593493891865888 0.1521172451780155 0.14004321413001172 0.1413651189214754
0.5 0.3; 111.08434930964347 -116.94981061797563 84.71135071433078 104.65620195611095; 0.1441367335767274 0.15121480190140774 0.1506067709987219 0.14215282115323055
0.5 0.3; 112.63524094576259 -118.3642496923891 93.37346725975874 103.93530292414577; 0.14378583322155117 0.1506320681485341 0.1550827665896586 0.13765808388726694
0.5 0.3; 113.71538775310889 -118.33679713470028 101.60884792148967 103.86868169773945; 0.14237246490836658 0.15109962802016957 0.1614341441391876 0.13739553713442326
0.5 0.3; 134.2901122390313 -116.97359056398066 104.7344916895058 96.79489771551833; 0.12944335554863765 0.1568869106584494 0.1629388370490206 0.14118700724399233
0.5 0.3; 139.49790505526207 -116.9702233818054 104.85609042141174 94.97686623649003; 0.1305316023847025 0.17421775712559173 0.1560251537430086 0.1394201257771005
