0.4 0.1; 90.0 59.999999999999986 29.999999999999993 29.999999999999993 -29.999999999999993; 0.1 0.1 0.1 0.1 0.1
0.4 0.1; 89.45808816803701 58.577321243139956 30.00041039786407 27.841977710037668 -25.224412161967585; 0.09996523088339487 0.09721640492734054 0.0996671431520285 0.09999779709775726 0.10048456042993154
0.4 0.1; 89.74130936885074 54.47754017358919 29.95929609371569 21.25620797832566 -25.100128692306974; 0.0999659648762719 0.09724128724427525 0.09975730919979348 0.09991769474020629 0.10050334248290511
0.4 0.1; 89.95721655109526 54.41089983557741 30.190366819846773 20.91364728941314 -25.261514969413845; 0.10010148999913195 0.11738076008621591 0.10426535843178633 0.09980248362378227 0.1005252009051596
0.4 0.1; 88.83437596432117 53.11390945663302 31.572718759000704 20.29007391428896 -27.382055722363468; 0.09899871303785746 0.11737104975530979 0.10479864770060084 0.09905248660627004 0.10052596085348811
0.4 0.1; 88.82498131789791 47.81773797487565 33.464554846373126 20.260106401654262 -27.08636595664678; 0.09902822331352579 0.11726990799672057 0.1048402822302188 0.09908865694967654 0.10093073602456257
0.4 0.1; 88.38144797464504 45.30126400629477 33.36178297663141 18.07537034760446 -27.410685209379974; 0.09940633425120156 0.11689709160806225 0.1188341444466016 0.10022646994348726 0.09959647714289549
0.4 0.1; 88.11027519757154 45.22145017919395 37.278394750917776 17.7154684100404 -26.204683805155096; 0.09775545753464096 0.11689914069444375 0.12010315310156858 0.10053934797661683 0.09989049127281675
0.4 0.1; 87.68958242115366 45.81272376118811 39.702772393150035 17.54547233405866 -26.045690559908603; 0.09843037736606396 0.11694634200933939 0.12010364487602955 0.10049155896160512 0.0999095851419164
0.4 0.1; 87.39039113167959 42.5529513481894 39.70458252717068 17.01009118135369 -25.369672840132043; 0.09841087015761973 0.1169047351731507 0.12010172834858958 0.10049218505949907 0.10016475415724936
0.4 0.1; 87.38852217598526 42.53592373153113 45.059939567214705 17.111711396541356 -29.64765819940517; 0.09847434854325357 0.1162897268191119 0.1202465345234106 0.10112597081724281 0.10026162349775784
0.4 0.1; 87.38829536075563 42.48347014184748 45.06940118025862 17.109023332762032 -25.494237165567924; 0.0986205887874727 0.11625453009884971 0.12026445773567887 0.10111232890846907 0.10026177857342075
0.4 0.1; 87.07983123725936 42.8223529582915 45.09546769505441 12.106138728076477 -22.455304773882776; 0.09893413453857361 0.11742403511622557 0.12022859670791236 0.10188542835769798 0.1116536914827522
0.4 0.1; 87.09319974683254 41.15191466849414 45.67660865605656 12.104973054725749 -16.079985664490525; 0.09887751073935692 0.1173103898484974 0.12026972782015692 0.10187418359418561 0.11181945009161677
0.4 0.1; 84.84252801015114 41.248046035129214 46.095346898574185 11.863172088300288 -14.850544439965702; 0.09924809796149445 0.11892242462148744 0.12026849305334733 0.10186310247262081 0.11182684265397255
0.4 0.1; 84.01945662596182 40.43345138852726 47.917590268896745 7.531681936908634 -14.275108213293871; 0.09991491226936437 0.12043763625053931 0.12040040153045414 0.10193524098236854 0.11155548359097729
0.4 0.1; 84.03401344191032 40.43321496151216 47.94130979245556 6.939091480908768 -3.875179360892358; 0.10003893076973337 0.12043683644075392 0.12039984330410376 0.10193616918528804 0.11094514485202504
0.4 0.1; 80.99851596852125 40.342759749205584 48.452047110321345 6.1953396964820255 2.940777676099098; 0.10055055354094514 0.1204457059898967 0.11986227840639517 0.10195909035740579 0.11085409839974812
0.4 0.1; 81.01355605461315 39.89340310002731 58.93778818510361 6.189277831182129 3.036470511069872; 0.10078950361673594 0.12082438309977542 0.1198647952742273 0.10207715716442656 0.11089607129742188
0.4 0.1; 85.46651971728473 39.08578098187956 59.30792356273293 6.520416707239276 3.2694345670479152; 0.10120863117646016 0.12081553091282932 0.1197472933986451 0.10207978773666337 0.11173882728510283
0.4 0.1; 85.61118721819109 38.7800941650119 65.68352949455272 6.337047508691621 4.155681493775126; 0.10133391225054685 0.12065276925151595 0.119792536369714 0.11257425272074714 0.11074053699080222
0.4 0.1; 85.62099734390785 38.765552883537 67.59194007394144 6.680759105703842 11.064320290050667; 0.10104760916312473 0.12066683019244337 0.11976160760501708 0.11256357413911211 0.1106804051406944
0.4 0.1; 83.41001578428951 39.341352286985874 67.59293999699642 3.7749995745114955 11.074280824920775; 0.10157179630206038 0.12079806948517467 0.11966529512485075 0.11280716653854217 0.1106788275340093
0.4 0.1; 83.15973919150127 33.79588828519872 67.86848072193538 3.75106618122985 13.454582418540415; 0.10159376902210156 0.12079014786230925 0.11967210463736713 0.11293780376641774 0.11077395739741878
0.4 0.1; 83.79209640032137 28.02663890621275 70.88324073466498 3.7492729192694525 13.500541404119677; 0.10158177116498825 0.12078644453145024 0.11965376210189192 0.11299370382796287 0.11092935425053045
0.4 0.1; 83.81673583407687 24.626824938630573 70.79627219853403 3.876634992687564 18.958492077732483; 0.10146982532750341 0.12091889829652695 0.11964788460214613 0.11547635198113244 0.11086363548687256
0.4 0.1; 83.9753747833899 21.43769497917748 70.63653665614184 -1.5236517318795915 19.234724557215955; 0.10058818974195728 0.12096816936344296 0.12011390047007413 0.1152840949271148 0.11020684172947398
0.4 0.1; 86.42780446380384 19.439665301851342 70.73811504949236 -3.666179267554602 20.001024011268584; 0.10076815500860288 0.12036467729441992 0.11977777537968255 0.11985375302232276 0.11014233017876734
0.4 0.1; 86.90590003099979 18.71681024058432 70.88031177587703 -4.951270722853244 21.401354354433614; 0.10497734838042419 0.12051285233490448 0.12026260920754117 0.1196052427354023 0.11292326785551894
0.4 0.1; 87.88798425262625 18.687677923475203 70.90507204713731 -6.905221887084092 21.020412762957857; 0.10497301433596277 0.12051092592266432 0.12058184489638661 0.11960485745591207 0.11191356369390348
0.4 0.1; 92.28148819577946 17.39903200506991 72.6660631501669 -7.1567635406254295 21.361207405047743; 0.10498720020087669 0.12053620515050027 0.12057187936933116 0.11956823322688877 0.11191486796716955
0.4 0.1; 92.36857054426466 16.886126292645702 72.53047828075323 -7.323127661096814 21.686567545660782; 0.10539470213607338 0.12058909306317053 0.12053822991160698 0.11720108819897243 0.11196510720689208
0.4 0.1; 93.26775622283458 14.777961158070793 72.60975002818276 -7.529086797351943 22.5424237488953; 0.10521822713868328 0.10994815845361004 0.12053092189301712 0.11807770428522059 0.10857020435611206
0.4 0.1; 93.19950468358768 13.233845020452677 75.14323498024774 -7.94352205282321 25.345878025284733; 0.10521799573403928 0.10982001201860402 0.12052199527755715 0.11721763486659317 0.10727751802133782
0.4 0.1; 97.60506319919064 12.192338712297804 75.14324577186352 -8.907122187479144 28.15413931115604; 0.10518920838196257 0.10989900394026016 0.12052440198531413 0.1171937114253869 0.10666091419270195
