0.4 0.1; 90.0 59.999999999999986 29.999999999999993 29.999999999999993 -29.999999999999993; 0.1 0.1 0.1 0.1 0.1
0.4 0.1; 93.11846060644977 54.09109413131461 25.586562537403164 29.027112401092253 -4.813714813686072; 0.10032471546813455 0.10608882980947991 0.09898774814048027 0.09972178719999072 0.1036920277362829
0.4 0.1; 101.11493562813988 41.3596963707387 26.55701992816557 29.0738690985342 1.2917024959374117; 0.10884550301479405 0.10873142664558422 0.09898784133011435 0.09771555000155199 0.09474961672703107
0.4 0.1; 101.44334350136937 33.93490962795093 42.697512690191694 26.940710553441917 3.041278303602523; 0.10890429423340503 0.10500684220098741 0.09959480225478894 0.10090277861014885 0.09758559227703517
0.4 0.1; 105.0254462431906 32.191553866843556 42.60826063100015 39.95238122353873 8.184598382479958; 0.10889865571649067 0.10439499839269621 0.10005900041108329 0.10108841154363535 0.09757353631519831
0.4 0.1; 105.38762036963422 26.37623412284822 43.460422274721644 47.38542270944426 21.33175169115738; 0.11727344793237363 0.10035452751128965 0.10005839582806314 0.11844829144249669 0.09732024511796848
0.4 0.1; 106.73330189322202 7.220265706146204 45.253773959492044 49.7180739360917 21.318702397777166; 0.11875014871497822 0.10085159475427916 0.09756514671612483 0.11953662622997367 0.09722587624005864
0.4 0.1; 125.2875129304973 1.4900960689504124 53.38493972146313 50.60203819587762 21.398362448271502; 0.11874998149983756 0.10051946262022236 0.09888676698536461 0.11939078595459673 0.09702036416729101
0.4 0.1; 124.42575050536162 -13.076206010865752 38.31496118712542 51.813304661895124 24.332896003193497; 0.11844010395150847 0.09582073841710134 0.10599273699921945 0.10855445726287194 0.09555690331607121
0.4 0.1; 133.339847628718 -18.601159179532583 46.18691658686393 60.172973159976756 36.20582340230173; 0.1262210491009201 0.10727635878774154 0.10870080788629155 0.10884757992087396 0.12633964204145826
0.4 0.1; 135.8688789169916 -11.049832661110448 54.020960899866985 59.33952105336568 38.87486576494386; 0.12235559559043617 0.12474158061625074 0.107024671027175 0.11795805114540817 0.12993847057824814
0.4 0.1; 137.7020449484103 -11.622040338160812 62.47169653436048 58.828748786224665 64.82820951207181; 0.12064347970472583 0.12654895695984858 0.1052629379409954 0.1179320270940315 0.12786985641771342
